name	label	category	type	datName	evalDatName	fileSuffix	template
Opglobals	Op Globals	code	text	globals		_globals.glsl	
Initcode	Init Code	code	text	init		_init.glsl	
Stageinitcode	Stage Init Code	code	text	stageInit		_stageInit.glsl	
Functemplate	Function	code	text	function		.glsl	
Materialcode	Material	code	text	material		_material.glsl	
Callbacks	Callbacks	code	text	callbacks		_callbacks.py	
Macrotable	Macros	table	table	macro_exprs	eval_macros	_macros.txt	/raytk/components/opDefinition/macro_table_example
Texturetable	Textures	table	table	texture_exprs	eval_textures	_textures.txt	/raytk/components/opDefinition/texture_table_example
Buffertable	Buffers	table	table	buffer_table	eval_buffers	_buffers.txt	/raytk/components/opDefinition/buffer_table_example
Variabletable	Variables	table	table	variable_exprs	eval_variables	_variables.txt	/raytk/components/opDefinition/variable_table_example
Referencetable	References	table	table	reference_exprs	eval_references	_references.txt	/raytk/components/opDefinition/reference_table_example
Help	Help	help	text	help		.md	
