name	label	code	params
simpleUnion	Simple Union	res1 = opSimpleUnion(res1, res2);	
simpleIntersect	Simple Intersect	res1 = opSimpleIntersect(res1, res2);	
simpleDiff	Simple Difference	res1 = opSimpleDiff(res1, res2);	Swapinputs
smoothUnion	Smooth Union	res1.x = opSmoothUnionM(res1.x, res2.x, r); blendInSdf(res1, res2, 1.0 - h);	Radius
smoothIntersect	Smooth Intersect	res1 = opSmoothIntersect(res1, res2, r);	Radius
smoothDiff	Smooth Difference	res1.x = opSmoothDiff(res1.x, res2.x, r); blendInSdf(res1, res2, 1.0 - h);	Swapinputs Radius
roundUnion	Round Union	res1.x = fOpUnionRound(res1.x, res2.x, r); blendInSdf(res1, res2, 1.0 - h);	Radius
roundIntersect	Round Intersect	res1.x = fOpIntersectionRound(res1.x, res2.x, r); blendInSdf(res1, res2, 1.0 - h);	Radius
roundDiff	Round Difference	res1.x = fOpDifferenceRound(res1.x, res2.x, r); blendInSdf(res1, res2, 1.0 - h);	Swapinputs Radius
chamferUnion	Chamfer Union	res1.x = fOpUnionChamfer(res1.x, res2.x, r); blendInSdf(res1, res2, 1.0 - h);	Radius
chamferIntersect	Chamfer Intersect	res1.x = fOpIntersectionChamfer(res1.x, res2.x, r); blendInSdf(res1, res2, 1.0 - h);	Radius
chamferDiff	Chamfer Difference	res1.x = fOpDifferenceChamfer(res1.x, res2.x, r); blendInSdf(res1, res2, 1.0 - h);	Swapinputs Radius
stairUnion	Stair Union	res1.x = fOpUnionStairs(res1.x, res2.x, r, n, o); blendInSdf(res1, res2, 1.0 - h);	Radius Number Offset
stairIntersect	Stair Intersect	res1.x = fOpIntersectionStairs(res1.x, res2.x, r, n, o); blendInSdf(res1, res2, 1.0 - h);	Radius Number Offset
stairDiff	Stair Difference	res1.x = fOpDifferenceStairs(res1.x, res2.x, r, n, o); blendInSdf(res1, res2, 1.0 - h);	Swapinputs Radius Number Offset
columnUnion	Column Union	res1.x = fOpUnionColumns(res1.x, res2.x, r, n, o); blendInSdf(res1, res2, 1.0 - h);	Radius Number Offset
columnIntersect	Column Intersect	res1.x = fOpIntersectionColumns(res1.x, res2.x, r, n, o); blendInSdf(res1, res2, 1.0 - h);	Radius Number Offset
columnDiff	Column Difference	res1.x = fOpDifferenceColumns(res1.x, res2.x, r, n, o); blendInSdf(res1, res2, 1.0 - h);	Swapinputs Radius Number Offset
