name	label	function	coordType	coordLength	returnType	libraryNames	macro
TDSimplexNoise2d	Simplex 2D	TDSimplexNoise	vec2	2	float		
TDSimplexNoise3d	Simplex 3D	TDSimplexNoise	vec3	3	float		
TDSimplexNoise4d	Simplex 4D	TDSimplexNoise	vec4	4	float		
TDPerlinNoise2d	Perlin 2D	TDPerlinNoise	vec2	2	float		
TDPerlinNoise3d	Perlin 3D	TDPerlinNoise	vec3	3	float		
TDPerlinNoise4d	Perlin 4D	TDPerlinNoise	vec4	4	float		
classicperlin2d	Classic Perlin 2D	cnoise	vec2	2	float	glslNoise	NOISE_USE_CLASSIC
classicperlin3d	Classic Perlin 3D	cnoise	vec3	3	float	glslNoise	NOISE_USE_CLASSIC
classicperlin4d	Classic Perlin 4D	cnoise	vec4	4	float	glslNoise	NOISE_USE_CLASSIC
simplex2d	Simplex 2D	snoise	vec2	2	float	glslNoise	NOISE_USE_SIMPLEX
simplex3d	Simplex 3D	snoise	vec3	3	float	glslNoise	NOISE_USE_SIMPLEX
simplex4d	Simplex 4D	snoise	vec4	4	float	glslNoise	NOISE_USE_SIMPLEX
cheapNoiseLookup	Cheap Random Lookup	cheapNoiseLookup	vec2	2	float		
