name	label	code	valueType
cmod	cmod	val = cmod(a);	float
csqrt	csqrt	val = csqrt(a);	vec2
cabs	cabs	val = cabs(a);	float
clog	clog	val = clog(a);	vec2
catan	catan	val = catan(a);	vec2
catanh	catanh	val = catanh(a);	vec2
cacos	cacos	val = cacos(a);	vec2
cacosh	cacosh	val = cacosh(a);	vec2
cacot	cacot	val = cacot(a);	vec2
cacoth	cacoth	val = cacoth(a);	vec2
casin	casin	val = casin(a);	vec2
casinh	casinh	val = casinh(a);	vec2
cacsch	cacsch	val = cacsch(a);	vec2
casec	casec	val = casec(a);	vec2
casech	casech	val = casech(a);	vec2
cconj	cconj	val = cconj(a);	vec2
ccos	ccos	val = ccos(a);	vec2
ccosh	ccosh	val = ccosh(a);	vec2
ccot	ccot	val = ccot(a);	vec2
ccoth	ccoth	val = ccoth(a);	vec2
ccsc	ccsc	val = ccsc(a);	vec2
ccsch	ccsch	val = ccsch(a);	vec2
cdiv	cdiv	val = cdiv(a, b);	vec2
cexp	cexp	val = cexp(a);	vec2
cinv	cinv	val = cinv(a);	vec2
cmul22	cmul (2, 2)	val = cmul(a, b);	vec2
cpolar	cpolar	val = cpolar(a);	vec2
cpow21	cpow (2, 1)	val = cpow(a, b.x);	vec2
cpow22	cpow (2, 2)	val = cpow(a, b);	vec2
csec	csec	val = csec(a);	vec2
csech	csech	val = csech(a);	vec2
csin	csin	val = csin(a);	vec2
csinh	csinh	val = csinh(a);	vec2
csincos	csincos	val = csincos(a);	vec4
ctan	ctan	val = ctan(a);	vec2
ctanh	ctanh	val = ctanh(a);	vec2
csqr	csqr	val = csqr(a);	vec2
